alpha|inferred_edges_ray|rmse_mean|rmse_std|baseline_rmse_mean|improvement_pct
0.0116545559774466|5000|0.8826201345144133|0.0020342474896551|0.8839847755286925|0.1543738141262637
0.0127908607976173|5000|0.882621271285014|0.0020338781600723|0.8839847755286925|0.1542452179521981
0.0140379539349786|5000|0.8826221462416519|0.0020347082713428|0.8839847755286925|0.1541462392523222
0.0154066371136874|5000|0.882623538236252|0.0020344113516412|0.8839847755286925|0.1539887710878736
0.0169087652126714|5000|0.8826217297108542|0.0020345438547249|0.8839847755286925|0.1541933589323521
0.0185573489469188|5000|0.882622852586907|0.0020341906000467|0.8839847755286925|0.1540663345667872
0.0203666675600672|5000|0.8826239915029106|0.0020352475617369|0.8839847755286925|0.1539374956958986
0.0223523925043813|5000|0.8826228298481361|0.0020347665014862|0.8839847755286925|0.1540689068702358
0.0245317231793747|5000|0.8826230172192833|0.002034612564112|0.8839847755286925|0.1540477106740636
0.0269235359047811|5000|0.8826240153134961|0.0020344204773026|0.8839847755286925|0.1539348021443622
0.0295485474182052|5000|0.8826238078164922|0.002033831026356|0.8839847755286925|0.1539582750603735
0.0324294943135933|5000|0.8826235803163008|0.0020350421941212862|0.8839847755286925|0.15398401081936505
