alpha|inferred_edges_power|rmse_mean|rmse_std|baseline_rmse_mean|improvement_pct
1.9292929292929293|5000|0.8830778098300843|0.0020312049437834|0.8872056286983033|0.465260671787586
1.9696969696969693|5000|0.8830782951329816|0.0020316791507599|0.8872056286983033|0.4652059716277116
2.0101010101010104|5000|0.8830771873639567|0.0020309691741451|0.8872056286983033|0.4653308320872401
2.0505050505050506|5000|0.8830761630874333|0.0020306820127135|0.8872056286983033|0.4654462818195505
2.090909090909091|5000|0.8830763681003992|0.00203069390071|0.8872056286983033|0.465423174102545
2.1313131313131315|5000|0.8830762375422223|0.0020308238990566|0.8872056286983033|0.4654378897640233
2.171717171717172|5000|0.8830767167245765|0.0020311118724922|0.8872056286983033|0.4653838794716243
2.212121212121212|5000|0.8830770411082348|0.0020306559196851|0.8872056286983033|0.4653473170730354
2.2525252525252526|5000|0.8830773966174114|0.0020304454923082|0.8872056286983033|0.4653072464101538
2.2929292929292933|5000|0.8830770085423728|0.0020300636056887|0.8872056286983033|0.4653509876834276
2.333333333333333|5000|0.8830776196744148|0.0020304173401834|0.8872056286983033|0.4652821048875792
2.3737373737373737|5000|0.8830765912381843|0.0020299164453603|0.8872056286983033|0.4653980234747976
2.4141414141414144|5000|0.8830771141054781|0.0020294241947911|0.8872056286983033|0.4653390893025064
2.4545454545454546|5000|0.8830775239802866|0.0020298923457036|0.8872056286983033|0.4652928909021266
2.494949494949495|5000|0.8830764475662679|0.0020305731023579|0.8872056286983033|0.4654142172309818
2.5353535353535355|5000|0.883076813452212|0.002030125603043|0.8872056286983033|0.4653729769669142
2.575757575757576|5000|0.883077143926603|0.0020300209657784|0.8872056286983033|0.46533572806088
2.6161616161616164|5000|0.8830762587206902|0.0020303966262022|0.8872056286983033|0.4654355026660177
2.656565656565657|5000|0.8830770194105391|0.0020305454294845|0.8872056286983033|0.4653497626950028
2.696969696969697|5000|0.8830774425861992|0.0020306707705049|0.8872056286983033|0.4653020651098554
2.737373737373737|5000|0.8830763116696012|0.0020306033552395|0.8872056286983033|0.4654295346120152
2.7777777777777777|5000|0.8830764360945261|0.002031017338968|0.8872056286983033|0.4654155102504813
2.8181818181818183|5000|0.8830771792101443|0.0020303770839531|0.8872056286983033|0.4653317511314997
2.858585858585859|5000|0.8830759835935185|0.0020301705602698|0.8872056286983033|0.4654665131964756
2.8989898989898992|5000|0.8830763120974401|0.0020303040009242|0.8872056286983033|0.4654294863888231
2.9393939393939394|5000|0.8830759314653754|0.0020303251365082|0.8872056286983033|0.4654723887388908
2.97979797979798|5000|0.8830760302184719|0.002030525664939|0.8872056286983033|0.4654612579374978
3.0202020202020203|5000|0.8830761113999632|0.0020305773178051|0.8872056286983033|0.4654521076922016
3.060606060606061|5000|0.8830762526340328|0.0020303866888743|0.8872056286983033|0.4654361887141224
3.101010101010101|5000|0.8830759560140068|0.0020298362572177|0.8872056286983033|0.4654696217781597
3.141414141414141|5000|0.8830756971360231|0.0020300955081528|0.8872056286983033|0.4654988008067122
3.181818181818182|5000|0.8830760664685592|0.0020299670155666|0.8872056286983033|0.4654571720653964
3.2222222222222223|5000|0.8830763873786831|0.0020299560146267|0.8872056286983033|0.4654210011808192
3.262626262626263|5000|0.8830752028033683|0.0020300315798091|0.8872056286983033|0.4655545187416328
3.303030303030303|5000|0.883076176429979|0.0020296870678212|0.8872056286983033|0.4654447779352983
3.3434343434343434|5000|0.8830753418498594|0.0020296774688856|0.8872056286983033|0.46553884633305
3.383838383838384|5000|0.8830768706259029|0.0020297726439657|0.8872056286983033|0.465366532723433
3.4242424242424243|5000|0.8830756650097111|0.0020302839659691|0.8872056286983033|0.4655024218739039
3.464646464646465|5000|0.8830759747810453|0.0020292730555718|0.8872056286983033|0.4654675064806603
3.505050505050505|5000|0.8830757744172295|0.002029309764856|0.8872056286983033|0.465490090175948
